,Unnamed: 0,Title,Company,Location,Snippet,Job Url,Salary,Seniority
0,0, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tJ2SM9kwyq9jPJgqEDZB2SVXHWNow1QpcM9GXnSijQUa_RSlO3UXbLN3xq1TKeHMro_wVVVybfmSp8IpQnqvpCBSLgK-ojs827EgBHR-55lfLUH0NE_xrcIYo_03Vrd0CDzNIg4FROMhtTvfB7wPge9wG4EK6zJU59lpa29u_BpZFMWvGnnJxgApI9Dv0cc_yCSNImRDmebnFh4Ui5gBzHbFEW0O-oxEht421OegcKH7HkY1VfFYJA7ptx64Oq5I_897LFZ3R1rWMyerzyvW87xLa8PIgj2UAXfDsmtvSkSI=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
1,1,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7cJgnwYrFCkmeJ4gKM-wgN3pJQwgYdeQF4YPHN_laKUSRhBu2SLjNQk4B68U74smClmKtSrZXe32j3WAGJMayfmWivU9up8MG_GJmX_p_7LO5Z1sD9gipUJ7fUj8Rf550Ms9Sz4ABEB9Xn7g2vN1FMwqsunt0QL6Rsi52Wrj2oWE__v1s-cxDg4tXCgUv0hMTYDwLoBtFebM_u8pXtSxS8LNlR8JFnMrdXkKnQAijOa8Rn6TNHr-K2EtP5cP-7LnPwJ8ZZq-wk6ndgtGlmBYHC5ECOw_I4MT8&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month",middle_level
2,2, Business Development Manager,Counto,Remote,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8e4WRig7A_-vTsbIqLUi4w5nLgyHwaoj7sea2DnWjTgO_A0xr-Tlz2bW8DYl1gYKLektQj9du38ta8hOqVra-jRCY2gkjuGB5lyk3OmQhRlBePMr-b6ff7ZeLjAS4k1QRW6GueW4T6MGpJ0oDEqfAn39SaFkVsIUD28e4GU590V_mBIoo_WcnZBiu2QnnHTqMEJ67KaB79TOAUpWp02BrBBBMN4aLQHq49q9fV29DoUUY_Mfy6bTYtPfIBxIpIWELAC4-guxDBCLa2leprdnTBLaPxyGqcU-h_DiuKAWSG8hU=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month",senior_level
3,3,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k2Nz-J0_JjOpo-8KyJi8cvURS6TWpfwn5OlYAA5USm7EovUtgjY213YPf7g-7iSvxx4dSCVP-nPUMn9q_-9Aki8DeKmq9FQX1ZDK592phF9DpmyxEYIibfQHtHoew5UWlZcZ_2IJFrftcohy_YwK9rXRrV9GzCQOok8EI8rT268nHSHldHCHKYAaFSqRZ8NAEtDudFK1jEMS052-tuPkNOpAdyZztQrIiDbqqZdzt45i_7Oi2S9LRhWt0quyHxqnYTxPWIq1hD1MlVXxCC8NWLCJWXvh7EVZb18MtcmA_x_M=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
5,5, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
7,7,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month",middle_level
8,8, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
9,9,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month",middle_level
10,10, OPERATIONS MANAGER,Kings Group of Companies,Makati,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month",middle_level
13,13, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
14,14, Operations Manager (Temporary work from home set-up until fu...,JK Network Services,Remote,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month",senior_level
15,15, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tnwQTNQI8ngOQ7OhUIqfrrxwBgDnVUuk5qpZHb6jFLXhmF9Kshp95BtiTQXl0gYQeYGxoVl-ebPfe7jB6xE_EPbEz8b_IpCMPHLZkT3gyyTmprx9BCjEjVzAcHxIeuJ8Ocjq5WtucCO6aNrKJPCtWZWDBLbpfv_-gqmhFC4TWNGe2zmUf4VFroTycR9XZBOH-wixb5wEYEwyXjQRTy8bnqj1VYZTa9NriAWZV2nsmxo84v8k1n80wPCP3atseDII-vdmkLqi07-kib5PBuiJzvUt3o55pTrufLi0Vz_4jeM4=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
