,Title,Company,Location,Snippet,Job Url,Salary
304,Business Development Manager,JINGDONG(JD.COM),Manila,"JD Philippines is currently looking for a Business Development Executive, based in Manila The candidate shall report to the Country Manager.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDFKSVTu9K_6qBe-cYT6XrY5URGvXL_-ts1AqW9NR5ZK4eeQmI36m9HoCf4Zj-In6lP4-qRbUpkh930rVbDvCUyYDmHxaOPKMfk8OmeVH1X7Yoq1o7J8x8BLGWaYQThYffM9im6_VoiowmwCnToxAGTznMlbhMaQG6G6ep8TvTyHPFSO_X7JEjq5vBB1ilawXq3jrBSpgA24To6rwwHOtCfx2TjOvkIo7bcG8Ym1Z6Mxo2AfGZQ7w0zSeOa1nBNdWsCYWQKIazqCglE5RafLoZFFb_IS9DuEk6_e-j64ObvhEw0EO1OGwTWRHbORtfmXi1wCfV4PGOmiEM5CBARG8Vhdzvvx4p-7yVeK-U5SPU6vuM_ko4oug0dYCngKBSDP36LrMhnduhjagKvhqenkyqJPevrr5Geo254BlO2IOSVg49_mWAItsszYqjQtJaTTfKouHpgUPQoeVL9vWHxBwrqJPTNzoV5Bk=&p=4&fvj=1&vjs=3,"PHP 90,000 a month"
305,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
306,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
307,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
308,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
309,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
310,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
311,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
312,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
313,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
314,newOperations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month"
315,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3t2-gduSiKJTaxEAA_A-WfAhv4KoGpPA3dX5QQYhG31HuffsXr7vu6wmgpEygwIg55s_joyEg-mAxsS6gp0p77KgfwcfUJhV3lPJiM8U_MS4vdsr3e38lN8yFgy4GXEXNx0Lzg9GDyu9KyAZVrIvMZXs30dVELhNEVU7XRkvbkITNakFnO5wrnu5mCz-DiO63jQchF7Xh1kpOc1ufnIDlPol3WZ-2VzNO1jVrsUdDJMk8MbZtHcEoWysMDK-pIGoO89doUlerGVQkfC459-bNXgwwKCGvzJxzFE94DlQUX6dg=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
316,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7SoooU99GTaZpKsZpUXC47g5_7oqguEZpufwHE2lq2bkO_tJbD_YZbSGAtVKFCLzj6KZybPdP9Ng0F6kL-fwn51XYzS4P9NgfJeQWwnt-IDkKFh28KzkeYVqIw14G9ZZiSGjmyiFqPR0TecSyhaHLrHQQ5ScL49rbOTbG_XZgZwlN04M8BDQx-Tz5tfQ_6XoVYiYVeyRdWKCcB-zINLep-p2bNubKyAXUDUWbx6p8VEGuJxaOmCZdk3pr1v1lndBwJGlm3t6P0gz7AErL_fcbBlVzZBpykDM2&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
317,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8enyTqDNU4WRqPj7ccZFNBk7zl7rljFBFHn_ito-lWni-20JECNLujrnSlx0xYufquhHmN6lJlpbPhv9FTU_zRoh_I7wq6Hwyr4SKQ12x38Rq19Uzcx4lPWyTgHYJo6hn8iVtjNvZNl11SIlRSSk5bM5xG3_ff_ogLvHtfUVVbHnzVB98XWHz_PRtqTNaT5V9YtNoG-AnLAkKK4RCRuTiisKTdzi8OOLqJI8WsoDACblpEuqmEUhJmKtcwv1k03zVfcDxpsneKKWcQ6Lh6jbY3hcukXpURqzKtL29zH-lz_kM=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
318,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kp6n7V75b3WcSLK0ZT2JaJWngE87kC8JvLEBXg1sAljLSzGOaHria7XF2-q-1uPLfT_sL-8Og3IAbbWnh9WaxXYrkax-XF2tvle7IIAGs6vnnuJGg2FhehwC63qW5d-R7exouofObFY2z4RfCwtSEIkYGFyAucah7arjO4H314Q2_9bcp_buF0r54YNnOcpiJ7wqZwjqq6rpi4mgKNTs0X2doxvaMP6uKC2x8maS6ibC6prEh2hj9I_V2kic5MPAsNoQPLotc4WIcLL5pQ-fBo1XA4uqxjoNW34V1ptNnq-E=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
319,newConcession Sales Manager,Richprime Global Inc,Quezon City,"Job Purpose: Responsible for planning, implementing and directing the sales activities of the company in assigned territory to achieve sales objectives.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CENJk4o9GUurtIJdOl7KSv0iEgy0-Xt7T_29a-YielZtoINrID6B-j0nvPJJ7QfUi-pztEjolHFh44gUrUwv5Nq2xdUu_4PTF1aHISwbxJ7rrI_L7yl5QfDcGfdeSE2SWgSzn36oUWkgJ-6T2Jz4mh-SgmGfg35BxhlHMnW-M-m5t1yfJwjPyCmX6JHT9do2DwnsqzDTheKRenZj1BIleHXciN08rsYWvLe-JdJTfg_o6V__JR_GTO4iC_MR3h96pR6AS8s_Svg7dFaf63E_5sPmpMbuIY9y0TOIHfNYkOmr3BeJnJZQU5ngB4ArpToPimjZ5x-dL1kWyQM5ByKJDHOA4G_puVFZ_f1bEu30EaOaqOHh_cZtJE5vTHqvMRkwqaqFjH6D4jezI1Ih1v5OQFqrN39kQ5AP3eGbJkEcCbpPGBvyNKe51-ixMUWwH3IPywXGRd6zR4V2MedcWF1jYn0ehq1SNCBug=&p=4&fvj=1&vjs=3,"PHP 40,000 - PHP 50,000 a month"
320,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
321,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
322,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
323,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
324,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
325,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
326,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
327,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
328,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
329,newOperations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month"
330,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tmwuNqmLstN9-h8DwVbpuzFao5-rlEfM_bZAKKfn4Gr-6FeM1mZpiNguUNim0gt1xVfoovePU_Ou1qv0yGqL1llr1xOWNdobOBy0gDtHk0I7IbN-fqrmzW2rZSItrghVqqiPRLZFrMYvh1xEy1CyfJNGkKl9l4LpmNmrRKEJwBTImY3YEdfwU7pnAJmZGiL9UHVOTVymGtvO_2m4_mq-xvvxnC4HYNJNyIdSZQvE2a0qsdfCOih93S3F8BrDrFHEOqeLR1lZxjFTru_RDrMYnlDSiAqhg1i-2UQA4wW_yGGQ=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
331,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7mygssszQ2AFBNZN4TWxbnXeR64fNUBxtMJKeerI6zoO8rcCPl_GUuHumw9mlhl-dMhizunOheackzenGkcZj5CKMZDOVolAifUo_o63Fq6ChOJTmY0j26-4wRK9fSXBAjvTuZ3av6RYN75PIPipuYRMbVK2aj0FdZs1NF2EeMA1qJBEuUuLv2LoHLn8zimeI9GJv_3KQWiIholQA5s-CrQWbnGOLgh3bj6waW6OR9sjgSk1NjPeUaZD0aIWIBY5ixnekZmgDGgPJ1N9ldMmfYB-qW6jPGTc8&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
332,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8eRuIRMSPGBr1vC2DtKnZNR2uBNX5_i0SgUoKb0zgQl1eSu3g32ZBiEaC_PfUEIjsKqtglhjcXnx0H1Sb0Y-2uy8E2Nnj8Shuso1-pyA9k5iyrFHXxl719ulTx0e9oNemPmifnSMtcUSR2b4uaERFY86A9hbN9vmz9Mm0oCw55DeSfNJpjasOnaQFfNNDXDZYIHv0lDeegkpy4ZR0TT8t4_Due7ESQmPhYjw8jP8nrjRyn-JouFMwWgvTtaTkogsPmEU-kZj4Nq3FRvTNztKj5OowB4aRq3J1bRzQfcK1DlM0=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
333,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kHyEA-RXNsem-QxWKcqNID_RCEUF-oSiZE5CWqv5HGsJs0Ml175f7UaKJJaRCrBRvL6Tnwuuk6l-G1vJwdfVHp2Wp8emhrOCz-u9NQQMLvRJ5jGYmEal0BNOq6_PfJVsoTrx4Qlx8wAJ3Qh-uONTRS6M1Xph5ILNu3BhbeJ2zd8ajv7EgVegEKT4cdOFOTlbXsxLl3fiEPYWZPLabuGoht4vshyoINJBZ3FC25LWO4BNPZqRarbF-ZJMWTndCxSHaxK2pqypjhz2xBUV7r1op6YfhD4Wsnf35JPXT44pLCos=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
334,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
335,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
336,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
337,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
338,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
339,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
340,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
341,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
342,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
343,newOperations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month"
344,newHuman Resources Manager,GrowthAssistant,Remote in Manila,"This position is hand-on and will build and oversee the Human Resources function, owning the end-to-end GrowthAssistant (GA) and internal team member experience…",https://ph.indeed.com/company/GrowthAssistant/jobs/Human-Resource-Manager-0312f9feb3ccda3d?fccid=bc27547eac27f7b0&vjs=3,"PHP 50,000 - PHP 80,000 a month"
345,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kd2g5cCvG3BWVqEZLY6xI40c3loNCf9Rpzm71zetDCkSV2VDfH7R76HCuSxkg1d2GyWAwpoPBwis1bE6Orpj3ZcdknAhzMW0lYPa8-EWhK2kv7rbZKTH5Agpw4c9w0O11478jVZAxPsfxFBVea4Kf0iBpLc3_OP3ndDbt698DE3oQH54EwH8s5hUYAH-u_iTcuAg-8506e2L2mYQzYzunEHZ20QSLZPvlAMN3kTlyLL6g4l7vDOoFt0TIi8lG3iEE99EpC65N9B9r30qNNtI0MUC04p1x-yMW0yL4PY9enf0=&p=0&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
346,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tiAwx1GotNuXg3ALDpSfjUN695xa2E2yRcFSDqJjNdOupExot0J_IQQWp0gZ5Gj-1MtZZvXLejEE91xJTgw0viBER8MRFYmzpeEt9D0T0Qn5s6_6CDn4wI9a5Vw4IPzrPdd-SsrKR7mn9Naq63alaOTMgh_B0MPBAaHpXV1zb4ZgZrscRie8DLUIWGVan8A8GvmRxI1GZoX2FYXbAgQhs7arIeaI_AvAzgkYP2vCo3dVXi3PuWdMpmC0-nxf62z6JlVUeOWlZd5PNa0XWzVYRhYA4SMHKBe84SU9pIQz1_0I=&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
347,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
348,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month"
349,Restaurant Manager,Landers Central,Alabang+1 location,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month"
350,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month"
351,newOPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month"
352,newStore Manager,Adidas,Manila,Drives store profitability by meeting or exceeding sales targets and controlling operational expenses; managing all resources within the store to provide…,https://ph.indeed.com/rc/clk?jk=6a8c98ab3be01213&fccid=8686937f641f561b&vjs=3,None
353,newSHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City+3 locations,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month"
354,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
