,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
905,Jr Software Developer,"American Bio-Clinical Laboratories, International",Remote,"PHP 18,000 - PHP 20,000 a month",https://ph.indeed.com/company/American-Bio--Clinical-Laboratories-International/jobs/Junior-Software-Developer-e2a941a7c9495ab7?fccid=df3c0a813cea7960&vjs=3,Write code for software patches and bug fixes.,middle_level,19000.0
107,Reservations Manager,Amorita Resort,Taguig,"PHP 30,000 - PHP 39,000 a month",https://ph.indeed.com/company/The-Funny-Lion-Resort/jobs/Reservation-Manager-ba9032a67566d071?fccid=25b40d8018142a95&vjs=3,Manage the Reservations team & all rooms’ reservations processes for the hotel.,middle_level,34500.0
50,Retail Operations Manager,Apollo Drugstore,Pasay,"PHP 35,000 - PHP 45,000 a month",https://ph.indeed.com/company/One-Oasis-Premier-Holdings-Corp/jobs/Retail-Operation-Manager-85d368b02bbd7da9?fccid=46af5795e2e6a1b5&vjs=3,The *RETAIL OPERATIONS MANAGER* is responsible for the results and performance of our Regional Drugstores.,middle_level,40000.0
815,Junior Software Developer,"Archangel Technologies, Inc.",Remote,"PHP 17,000 - PHP 25,000 a month","https://ph.indeed.com/company/Archangel-Technologies,-Inc./jobs/Junior-Software-Developer-058136c948e3efef?fccid=8b9244c87b32299f&vjs=3","Conducts compatibility testing with other software programs, hardware, multiple operating systems, and network environments.",junior_level,21000.0
665,Graphic Designer,Architectural Design Company,Makati,"PHP 20,000 - PHP 35,000 a month",https://ph.indeed.com/company/Aidea/jobs/Graphic-Designer-b24db34c43c71d5a?fccid=f1cf7b5bba042b51&vjs=3,This position is responsible is providing branding and Environmental Graphic Design (EGD) expertise.,middle_level,27500.0
703,Graphic Designer,AristoSourcing LLC,Remote,"PHP 20,000 - PHP 35,000 a month",https://ph.indeed.com/company/AristoSourcing-Inc./jobs/Graphic-Designer-37021d6b632870b0?fccid=11def364f6c1f806&vjs=3,"Preferably with vector graphic experience, like Adobe Illustrator.",middle_level,27500.0
28,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"PHP 60,000 - PHP 70,000 a month",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",middle_level,65000.0
702,Motion Graphic Designer,Aspiree Inc.,Remote,"PHP 40,000 - PHP 45,000 a month",https://ph.indeed.com/company/Aspiree-Inc./jobs/Motion-Graphic-Designer-bf9e40324b10367b?fccid=a068ce848abdb1a9&vjs=3,"At least 3 years graphic design experience including video, motion graphics and/or animation.",senior_level,42500.0
345,Admin Manager,Aspiree Inc.,Remote,"PHP 70,000 - PHP 90,000 a month",https://ph.indeed.com/company/Aspiree-Inc./jobs/Admin-Manager-b8521add048ea77e?fccid=a068ce848abdb1a9&vjs=3,"Admin Manager (Temporary WFH set-up, work on-site when needed)*.",middle_level,80000.0
0,Operations Manager,Azure Prism Limited,Remote,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXGNQPvy4VyLaZedecZX32uMpidMNrrSf1Xi6RfFB3oR0tgqKcBEEg5vQkbO0XseuoAjiH1dbCqSkLhs3qHi5Ayb9ohm3PVKqKtHnUUhMJzHqWQYh_ns5TirvyRNW4qb9EhWhzVWy44tqt9fO8Z00gszZUDFwOGiqtHSTe2eppSM1ae9Dt3aJ1RvbNV1FiYU8Oc8zMJzLLYsmXbcCvnzuS9BW7OLM0RFU_8ue1Z1uMGfTNVkRf-fv3Uqxd0cA8nYV9xV3lUUFTm1ukMW4nbieNyI2HeURRqh52JFAQjO-RZTUKivhYb72AbZXvZwttj3sEkT-L8m1JhvL-VKdeGz335R06PBDhFvqIDNreAT6vxH-zPJpLHam9PM5820ai0PFt35qEmUSeJGxX-GOh4JFyT3tn7u0bhlg-7xaItafQ8qZ1KS1-1ZrS5tQ2W98To709Ur_lcO_v10vnDpRivLej3AxFiLMym7c=&p=0&fvj=1&vjs=3,Work from home and full-time position.,middle_level,70000.0
346,Senior Brand Manager,BC Marketing Concepts Inc.,Makati,"PHP 60,000 - PHP 90,000 a month",https://ph.indeed.com/company/BC-Marketing-Concepts/jobs/Senior-Brand-Manager-45f676ae7d137160?fccid=3dcaa967809721de&vjs=3,"Lead and direct all marketing activities for the assigned brand or business including P&L responsibility, to achieve volume, organic growth, market share and…",senior_level,75000.0
104,Assistant Manager,"BEHOLD TRADING INTERNATIONAL, INC",Makati,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/company/BEHOLD-TRADING-INTERNATIONAL/jobs/Assistant-Manager-3667f18d6f06637e?fccid=5a82512c33a5acec&vjs=3,"Primary responsible for the overall management assigned to him/her in terms of its personnel, administration and finance.",junior_level,70000.0
187,Inventory Manager,"BELL-KENZ PHARMA, INC.",Quezon City,"PHP 60,000 - PHP 80,000 a month","https://ph.indeed.com/company/BELL--KENZ-PHARMA,-INC./jobs/Inventory-Manager-e963920a82e6837d?fccid=6267d42ddd829d27&vjs=3",4 year course major in Industrial Engineering or Accountancy.,senior_level,70000.0
471,HR and Admin Manager,BUM EQUIPMENT INC.,Malabon,"PHP 35,000 - PHP 40,000 a month",https://ph.indeed.com/company/BUM-EQUIPMENT-INC./jobs/Human-Resource-Admin-Manager-94a502604e61afcf?fccid=6ee7a656d14b7573&vjs=3,"- Bachelor's/Master's degree in Psychology, HRDM, Human Ecology or related field *.",middle_level,37500.0
